PT_ID,SCHOOL,ZONE,CLUSTER,GROUP_ID,latitude,longitude,LEVEL,ENROLMENT,2023_OSO,OSO_pct,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,special,mothertongue1_code,mothertongue2_code,mothertongue3_code,HMSP_Tier,HMSP_Score
72,MAHA BODHI SCHOOL,EAST,E7,7,1.3284777,103.9015345,PRIMARY,1938,242,0.124871001,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,Yes,Chinese,na,na,C,0.625
73,MANJUSRI SECONDARY SCHOOL,EAST,E7,7,1.32756135,103.9017139,SECONDARY,1054,138,0.130929791,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,No,Chinese,Malay,na,E,0.142857143
74,NGEE ANN PRIMARY SCHOOL,EAST,E7,7,1.30554595,103.9179525,PRIMARY,1445,146,0.101038062,MARINE PARADE,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,C,0.625
75,OPERA ESTATE PRIMARY SCHOOL,EAST,E7,7,1.3196642,103.923766,PRIMARY,995,106,0.106532663,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,D,0.25
76,ST. PATRICK'S SCHOOL,EAST,E7,7,1.3079723,103.917371,SECONDARY,1028,129,0.125486381,BEDOK,EAST,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,No,Chinese,Malay,Tamil,D,0.363636364
77,ST. STEPHEN'S PRIMARY SCHOOL,EAST,E7,7,1.318257,103.9182735,PRIMARY,1460,193,0.132191781,BEDOK,EAST,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,D,0.285714286
78,TAO NAN SCHOOL,EAST,E7,7,1.305120419,103.9114018,PRIMARY,2246,164,0.0730187,MARINE PARADE,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,Yes,No,Yes,Chinese,na,na,B,0.777777778
79,VICTORIA SCHOOL,EAST,E7,7,1.30854205,103.9274578,SECONDARY,1303,82,0.062931696,BEDOK,EAST,GOVERNMENT SCHOOL,BOYS' SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,Yes,Yes,Yes,Chinese,Malay,Tamil,B,0.9
80,BOWEN SECONDARY SCHOOL,NORTH,N1,8,1.37088385,103.8776018,SECONDARY,1149,157,0.136640557,HOUGANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,No,Chinese,Malay,Tamil,E,0
81,CHIJ ST. JOSEPH'S CONVENT,NORTH,N1,8,1.39185175,103.9024866,SECONDARY,1250,194,0.1552,SENG KANG,NORTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,No,Chinese,Malay,Tamil,E,0.166666667
82,NORTH VISTA PRIMARY SCHOOL,NORTH,N1,8,1.3828948,103.8959771,PRIMARY,1480,155,0.10472973,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,E,0.142857143
83,NORTH VISTA SECONDARY SCHOOL,NORTH,N1,8,1.38173725,103.8987395,SECONDARY,1221,131,0.107289107,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,No,Chinese,Malay,Tamil,D,0.4
84,PALM VIEW PRIMARY SCHOOL,NORTH,N1,8,1.3840612,103.8912122,PRIMARY,1532,160,0.104438642,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,E,0
85,RIVERVALE PRIMARY SCHOOL,NORTH,N1,8,1.39365955,103.9046125,PRIMARY,1370,169,0.123357664,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,D,0.25
86,ROSYTH SCHOOL,NORTH,N1,8,1.3728695,103.8745093,PRIMARY,1863,199,0.106816962,SERANGOON,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,Yes,No,Yes,Chinese,Malay,Tamil,D,0.272727273
87,SENG KANG PRIMARY SCHOOL,NORTH,N1,8,1.3894052,103.8993262,PRIMARY,1311,193,0.147215866,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,No,Chinese,Malay,Tamil,D,0.428571429
88,SENG KANG SECONDARY SCHOOL,NORTH,N1,8,1.3864773,103.8986809,SECONDARY,1165,127,0.109012876,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,No,Chinese,Malay,Tamil,D,0.375
