PT_ID,SCHOOL,ZONE,CLUSTER,GROUP_ID,PRI,SEC,n_STALLS,n_PASS,TIER_SCORE,TIER,latitude,longitude
144,ANDERSON PRIMARY SCHOOL,NORTH,N6,13,1,0,6,3,0.25,D,1.384309214,103.8414261
145,CANBERRA SECONDARY SCHOOL,NORTH,N6,13,0,1,9,1,0.111111111,E,1.45372065,103.8141799
146,CHIJ ST. NICHOLAS GIRLS' SCHOOL (PRI),NORTH,N6,13,1,0,13,4,0.307692308,D,1.37344905,103.8340777
147,CHIJ ST. NICHOLAS GIRLS' SCHOOL (SEC),NORTH,N6,13,0,1,13,4,0.307692308,D,1.37344905,103.8340777
148,HUAMIN PRIMARY SCHOOL,NORTH,N6,13,1,0,7,1,0.142857143,E,1.4268563,103.8442636
149,NAVAL BASE PRIMARY SCHOOL,NORTH,N6,13,1,0,8,4,0.5,C,1.41654665,103.8384703
150,NORTH VIEW PRIMARY SCHOOL,NORTH,N6,13,1,0,6,4,0.666666667,C,1.42787341,103.8483452
151,NORTHBROOKS SECONDARY SCHOOL,NORTH,N6,13,0,1,7,3,0.428571429,D,1.4212669,103.8447792
152,ORCHID PARK SECONDARY SCHOOL,NORTH,N6,13,0,1,9,2,0.222222222,E,1.41577935,103.8380948
153,PEIYING PRIMARY SCHOOL,NORTH,N6,13,1,0,7,0,0,E,1.41777415,103.8303764
154,SEMBAWANG PRIMARY SCHOOL,NORTH,N6,13,1,0,7,5,0.714285714,C,1.44526675,103.8209149
155,SEMBAWANG SECONDARY SCHOOL,NORTH,N6,13,0,1,8,3,0.375,D,1.44565285,103.8166628
156,YISHUN PRIMARY SCHOOL,NORTH,N6,13,1,0,8,2,0.25,D,1.4335987,103.8338869
157,ADMIRALTY SECONDARY SCHOOL,NORTH,N7,14,0,1,6,5,1,A,1.44591185,103.8029081
158,CANBERRA PRIMARY SCHOOL,NORTH,N7,14,1,0,7,2,0.285714286,D,1.45086265,103.8155806
159,CHRIST CHURCH SECONDARY SCHOOL,NORTH,N7,14,0,1,9,4,0.444444444,D,1.426656,103.7931512
160,FUCHUN PRIMARY SCHOOL,NORTH,N7,14,1,0,7,1,0.142857143,E,1.43072155,103.7782371
161,FUCHUN SECONDARY SCHOOL,NORTH,N7,14,0,1,4,2,0.5,C,1.4302889,103.7772694
162,INNOVA PRIMARY SCHOOL,NORTH,N7,14,1,0,8,2,0.25,D,1.4291943,103.7907449
